film,date,writer,director,
"The Steel Helmet", 01-10-1951, Samuel Fuller, Samuel Fuller,
"Korea Patrol", 01-15-1951,
"Tokyo File 212", 01-24-1951,
"A Yank in Korea", 02-14-1951,
"Mask of the Dragon", 03-10-1951,
"Starlift", 11-14-1951,
"Submarine Command", 11-17-1951,
"Fixed Bayonets!", 11-20-1951,
"I Want You", 12-22-1951,
"Japanese War Bride", 01-28-1952,
"Retreat, Hell!", 02-19-1952,
"My Son John", 04-08-1952,
"Geisha Girl", 05-02-1952,
"Glory Alley", 06-06-1952,
"One Minute to Zero", 07-21-1952,
"Back at the Front", 08-__-1952,
"Battle Zone", 08-26-1952,
"Flat Top", 08-26-1952,
"Mr. Walkie-Talkie", 11-28-1952,
"Battle Circus", 03-06-1953,
"The Glory Brigade", 05-20-1953,
"Mission Over Korea", 08-__-1953,
"Sky Commando", 08-21-1953,
"Sabre Jet", 09-04-1953,
"Combat Squad", 10-01-1953,
"Take the High Ground!", 10-30-1953,
"Flight Nurse", 11-04-1953,
"Cease Fire!", 11-24-1953,
